Region ID,Accidents,Injuries,Fatalities,Speed Cameras,Red Light Cameras,Total Cameras,Accidents Per Camera,Injuries Per Camera,Fatalities Per Camera,Injuries Per Accident,Fatalities Per Accident
1,5106,538.0,0.0,1.0,2.0,3.0,1702.0,179.33333333333334,0.0,0.1053662358010184,0.0
2,7593,1165.0,3.0,7.0,7.0,14.0,542.3571428571429,83.21428571428571,0.21428571428571427,0.1534307915185039,0.0003951007506914263
3,10364,1388.0,5.0,10.0,10.0,20.0,518.2,69.4,0.25,0.1339251254341953,0.00048243921265920495
4,5864,736.0,4.0,3.0,5.0,8.0,733.0,92.0,0.5,0.12551159618008187,0.0006821282401091405
5,12253,1834.0,7.0,16.0,15.0,31.0,395.258064516129,59.16129032258065,0.22580645161290322,0.14967762996817105,0.000571288664000653
6,9638,1326.0,5.0,10.0,13.0,23.0,419.04347826086956,57.65217391304348,0.21739130434782608,0.13758041087362524,0.0005187798298402158
7,9184,1487.0,3.0,3.0,15.0,18.0,510.22222222222223,82.61111111111111,0.16666666666666666,0.16191202090592335,0.0003266550522648084
8,11375,1529.0,5.0,8.0,8.0,16.0,710.9375,95.5625,0.3125,0.13441758241758242,0.00043956043956043956
9,5991,1266.0,5.0,3.0,3.0,6.0,998.5,211.0,0.8333333333333334,0.21131697546319478,0.0008345852111500584
10,12704,3398.0,25.0,14.0,10.0,24.0,529.3333333333334,141.58333333333334,1.0416666666666667,0.26747481108312343,0.001967884130982368
11,12721,2013.0,11.0,8.0,8.0,16.0,795.0625,125.8125,0.6875,0.15824227655058565,0.0008647118937190472
12,8883,1113.0,5.0,2.0,3.0,5.0,1776.6,222.6,1.0,0.12529550827423167,0.0005628729032984353
13,11287,1457.0,6.0,2.0,4.0,6.0,1881.1666666666667,242.83333333333334,1.0,0.12908655975901479,0.0005315850093027376
14,8065,1528.0,11.0,3.0,6.0,9.0,896.1111111111111,169.77777777777777,1.2222222222222223,0.1894606323620583,0.0013639181649101053
15,7097,1149.0,3.0,7.0,1.0,8.0,887.125,143.625,0.375,0.16189939411018742,0.00042271382274200367
16,5304,842.0,4.0,0.0,1.0,1.0,5304.0,842.0,4.0,0.15874811463046756,0.0007541478129713424
17,2575,385.0,4.0,0.0,0.0,0.0,inf,inf,inf,0.14951456310679612,0.0015533980582524273
18,15231,2079.0,18.0,22.0,12.0,34.0,447.97058823529414,61.14705882352941,0.5294117647058824,0.13649793184951745,0.0011818002757533978
19,7873,1818.0,23.0,3.0,4.0,7.0,1124.7142857142858,259.7142857142857,3.2857142857142856,0.23091578813666963,0.0029213768576146324
20,6779,1862.0,14.0,4.0,2.0,6.0,1129.8333333333333,310.3333333333333,2.3333333333333335,0.27467178049859864,0.0020652013571323203
21,6466,1325.0,10.0,3.0,2.0,5.0,1293.2,265.0,2.0,0.20491803278688525,0.001546551190844417
22,4221,833.0,2.0,8.0,3.0,11.0,383.72727272727275,75.72727272727273,0.18181818181818182,0.19734660033167495,0.00047382136934375743
23,9771,2066.0,10.0,6.0,6.0,12.0,814.25,172.16666666666666,0.8333333333333334,0.21144202231092007,0.0010234367004400779
24,6813,1521.0,15.0,3.0,2.0,5.0,1362.6,304.2,3.0,0.22324966974900926,0.002201673271686482
25,3656,543.0,2.0,5.0,1.0,6.0,609.3333333333334,90.5,0.3333333333333333,0.14852297592997812,0.0005470459518599562
26,7490,1506.0,5.0,2.0,4.0,6.0,1248.3333333333333,251.0,0.8333333333333334,0.20106809078771695,0.0006675567423230974
27,2660,468.0,10.0,4.0,1.0,5.0,532.0,93.6,2.0,0.17593984962406015,0.0037593984962406013
28,1819,409.0,9.0,1.0,0.0,1.0,1819.0,409.0,9.0,0.22484881803188564,0.004947773501924134
29,4850,707.0,1.0,3.0,1.0,4.0,1212.5,176.75,0.25,0.14577319587628865,0.0002061855670103093
