,INTERSECTION,FIRST APPROACH,SECOND APPROACH,THIRD APPROACH,GO LIVE DATE,Lat,Lng,LOCATION,Region ID,Region Name
0,Pulaski-Diversey,SB,NB,,05/15/2009,41.931791,-87.726979,"(41.931791, -87.726979)",7,Hermosa-Logan Square
1,Pulaski-Foster,SB,WB,,10/18/2007,41.975532,-87.728234,"(41.975532, -87.728234)",3,North Park-Albany-Linconl Sq
2,Cicero-Fullerton,SB,WB,,02/25/2006,41.924237,-87.746302,"(41.924237, -87.746302)",7,Hermosa-Logan Square
3,Harlem-Belmont,NB,WB,,06/18/2007,41.937996999999996,-87.80674599999999,"(41.937997, -87.806746)",5,Dunning-Portage-Belmont Cragn
4,Narragansett-Fullerton,EB,WB,,11/14/2008,41.923676,-87.785441,"(41.923676, -87.785441)",5,Dunning-Portage-Belmont Cragn
5,Western-Montrose,NB,WB,,08/26/2008,41.961313,-87.688681,"(41.961313, -87.688681)",3,North Park-Albany-Linconl Sq
6,Halsted-Madison,NB,SB,,06/14/2008,41.881776,-87.647361,"(41.881776, -87.647361)",11,West Town-Near West
7,State-75th,NB,WB,,08/28/2009,41.758179999999996,-87.62475699999999,"(41.75818, -87.624757)",23,Auburn Gresham-Chatham
8,Western-79th,NB,WB,,05/07/2007,41.750101,-87.682847,"(41.750101, -87.682847)",22,Ashburn
9,California-Irving Park,WB,EB,,08/26/2008,41.953973,-87.69824,"(41.953973, -87.69824)",6,Irving Park-Avondale-North Ctr
10,Cicero-Chicago,NB,EB,,10/05/2007,41.895003,-87.745805,"(41.895003, -87.745805)",10,Humboldt-Garfield Prk E/W
11,Cicero-Archer,NB,WB,,11/13/2007,41.798659,-87.74292700000001,"(41.798659, -87.742927)",18,South West Side
12,Austin-Addison,EB,NB,,06/28/2008,41.945771,-87.776504,"(41.945771, -87.776504)",5,Dunning-Portage-Belmont Cragn
13,LaSalle-Kinzie,NB,EB,,04/30/2004,41.889187,-87.632526,"(41.889187, -87.632526)",12,Near North
14,Broadway-Foster,NB,EB,,10/18/2007,41.976323,-87.659867,"(41.976323, -87.659867)",4,Edge Water-Uptown
15,Clark-Ridge,NB,SB,,07/23/2008,41.989697,-87.669985,"(41.989697, -87.669985)",4,Edge Water-Uptown
16,Kedzie-31st,SB,WB,,05/23/2008,41.837231,-87.704823,"(41.837231, -87.704823)",14,Lawndale N/S
17,Pulaski-55th,SB,WB,,11/19/2004,41.793205,-87.72316,"(41.793205, -87.72316)",18,South West Side
18,Ashland-Cortland,NB,EB,,02/26/2006,41.916128,-87.6678,"(41.916128, -87.6678)",8,Lincoln Park-Lake View
19,California-Diversey,NB,WB,EB,01/31/2006,41.932096,-87.697616,"(41.932096, -87.697616)",6,Irving Park-Avondale-North Ctr
20,Damen-63rd,NB,SB,,05/31/2008,41.779315000000004,-87.673906,"(41.779315, -87.673906)",19,New City-Englewood-W Englewood
21,Laramie-Madison,EB,WB,,05/11/2011,41.880371000000004,-87.755065,"(41.880371, -87.755065)",9,Austin
22,Pulaski-Archer-50th,EB,WB,,10/31/2007,41.802316999999995,-87.723422,"(41.802317, -87.723422)",18,South West Side
23,Kostner-Grand-North,EB,NB,SB,03/11/2004,41.909754,-87.736262,"(41.909754, -87.736262)",7,Hermosa-Logan Square
24,Cicero-North,EB,WB,,05/31/2008,41.909626,-87.746112,"(41.909626, -87.746112)",7,Hermosa-Logan Square
25,Kedzie-71st,SB,WB,,09/17/2009,41.76439,-87.702811,"(41.76439, -87.702811)",18,South West Side
26,Clark-Chicago,EB,WB,,10/22/2010,41.896634999999996,-87.63124300000001,"(41.896635, -87.631243)",12,Near North
27,Kedzie-Armitage,SB,WB,,01/23/2009,41.917402,-87.706965,"(41.917402, -87.706965)",7,Hermosa-Logan Square
28,Pulaski-Lawrence,SB,EB,,07/31/2008,41.968242,-87.728027,"(41.968242, -87.728027)",3,North Park-Albany-Linconl Sq
29,Ashland-95th,SB,EB,,06/26/2009,41.721214,-87.662684,"(41.721214, -87.662684)",25,Beverly-Mt Greenwood-Morgan Park
30,Milwaukee-Diversey,NB,EB,,06/29/2009,41.931984,-87.712251,"(41.931984, -87.712251)",6,Irving Park-Avondale-North Ctr
31,Elston-Irving Park,SB,EB,,08/12/2009,41.95373,-87.719084,"(41.95373, -87.719084)",6,Irving Park-Avondale-North Ctr
32,Ashland-71st,NB,WB,,10/11/2004,41.76491,-87.663794,"(41.76491, -87.663794)",19,New City-Englewood-W Englewood
33,Western-Foster,SB,WB,,06/05/2007,41.97589,-87.689148,"(41.97589, -87.689148)",3,North Park-Albany-Linconl Sq
34,Central-Diversey,SB,WB,,08/18/2009,41.931278000000006,-87.766248,"(41.931278, -87.766248)",5,Dunning-Portage-Belmont Cragn
35,Halsted-99th,NB,EB,,01/01/2006,41.714215,-87.643004,"(41.714215, -87.643004)",26,Washington Hts-Roseland-Pullman
36,Western-Marquette,SB,WB,,11/30/2008,41.771977,-87.68344300000001,"(41.771977, -87.683443)",19,New City-Englewood-W Englewood
37,Damen-Division,EB,WB,,12/29/2009,41.903191,-87.677258,"(41.903191, -87.677258)",11,West Town-Near West
38,Ashland-87th,SB,WB,,03/31/2007,41.735788,-87.663063,"(41.735788, -87.663063)",23,Auburn Gresham-Chatham
39,Pulaski-Chicago,SB,EB,,02/20/2010,41.895367,-87.726078,"(41.895367, -87.726078)",10,Humboldt-Garfield Prk E/W
