,ADDRESS,FIRST APPROACH,SECOND APPROACH,GO-LIVE DATE,Lat,Lng,LOCATION,Region ID,Region Name
0,3843 W 111th (Speed Camera),EB,WB,01/13/2014,41.69120239624487,-87.71721139909997,"(41.69120239624487, -87.71721139909997)",25,Beverly-Mt Greenwood-Morgan Park
1,19 W Chicago Ave (Speed Camera),WB,,04/29/2014,41.896556107108886,-87.62902590382873,"(41.89655610710888, -87.62902590382873)",12,Near North
2,2445 W 51st St (Speed Camera),EB,,02/24/2014,41.80101288052556,-87.68607060493738,"(41.801012880525555, -87.68607060493738)",18,South West Side
3,7739 S Western (Speed Camera),NB,,12/18/2013,41.75262929348929,-87.68276525603095,"(41.752629293489285, -87.68276525603093)",22,Ashburn
4,3832 W 79th St (Speed Camera),EB,,02/10/2014,41.749715176851936,-87.71959877920996,"(41.749715176851936, -87.71959877920995)",22,Ashburn
5,7826 S Pulaski Rd (Speed Camera),SB,,02/14/2014,41.750546197723544,-87.72209265589271,"(41.75054619772355, -87.72209265589272)",22,Ashburn
6,4925 S Archer (Speed Camera),NEB,SWB,01/31/2014,41.80365647472294,-87.72101713004055,"(41.80365647472294, -87.72101713004055)",18,South West Side
7,450 N Columbus Dr (Speed Camera),SB,,05/18/2014,41.89012235250517,-87.62041639513694,"(41.890122352505166, -87.62041639513696)",29,Downtown Lakefront
8,2900 W Ogden Ave (Speed Camera),EB,WB,10/17/2013,41.86040786445197,-87.69867209877323,"(41.86040786445197, -87.69867209877323)",14,Lawndale N/S
9,3217 W 55th St (Speed Camera),EB,,01/07/2015,41.793392372079225,-87.70434842139014,"(41.79339237207923, -87.70434842139014)",18,South West Side
10,6909 S Kedzie Ave (Speed Camera),NB,,09/06/2013,41.767731869018846,-87.70273790708363,"(41.76773186901884, -87.70273790708362)",18,South West Side
11,536 E Morgan Dr (Speed Camera),EB,WB,12/06/2013,41.793492645896656,-87.6118759701359,"(41.793492645896656, -87.6118759701359)",20,Fuller-Grand Blvd-Washington Park
12,3212 W 55th St (Speed Camera),WB,,01/07/2015,41.793614646148406,-87.7041703550325,"(41.793614646148406, -87.7041703550325)",18,South West Side
13,11153 S Vincennes (Speed Camera),SB,,01/08/2014,41.690701951255015,-87.66412238501843,"(41.690701951255015, -87.66412238501842)",25,Beverly-Mt Greenwood-Morgan Park
14,1117 S Pulaski Rd (Speed Camera),NB,,09/05/2014,41.867401834997956,-87.72508368792015,"(41.867401834997956, -87.72508368792016)",10,Humboldt-Garfield Prk E/W
15,3450 W 71ST ST (Speed Camera),EB,WB,09/06/2013,41.764390956898815,-87.70972841983624,"(41.76439095689881, -87.70972841983624)",18,South West Side
16,5520 S Western (Speed Camera),NB,,11/23/2013,41.79276111996544,-87.68415735542791,"(41.792761119965434, -87.68415735542791)",18,South West Side
17,7738 S Western (Speed Camera),SB,,12/18/2013,41.75271909284453,-87.68306095859297,"(41.75271909284453, -87.68306095859297)",22,Ashburn
18,3230 N Milwaukee Ave (Speed Camera),NB,SB,04/08/2014,41.93969900713657,-87.72507433916897,"(41.93969900713657, -87.72507433916897)",6,Irving Park-Avondale-North Ctr
19,6523 N Western (Speed Camera),NB,SB,11/10/2013,42.00025951144952,-87.68980290863907,"(42.00025951144952, -87.68980290863908)",1,Rogers Park - West Ridge
20,5739 N Northwest Hwy (Speed Camera),NB,SB,09/09/2014,41.98611938850496,-87.7877408267013,"(41.98611938850496, -87.7877408267013)",2,Far North West
21,4433 N Western (Speed Camera),NB,,01/04/2014,41.96231378868856,-87.68856455418805,"(41.96231378868856, -87.68856455418805)",3,North Park-Albany-Linconl Sq
22,2928 S Halsted (Speed Camera),NB,SB,01/18/2014,41.840812625923846,-87.64649261049526,"(41.84081262592384, -87.64649261049526)",15,Bridgeport-McKinley-Lower West
23,2712 W Irving Park  (Speed Camera),WB,,11/15/2013,41.95409265714978,-87.69659650166679,"(41.954092657149786, -87.6965965016668)",6,Irving Park-Avondale-North Ctr
24,6443 W Belmont (Speed Camera),EB,,03/10/2014,41.93818125854858,-87.78765548502581,"(41.938181258548575, -87.78765548502582)",5,Dunning-Portage-Belmont Cragn
25,215 E 63rd St (Speed Camera),EB,WB,09/24/2014,41.78005698693417,-87.6197547203603,"(41.78005698693417, -87.6197547203603)",20,Fuller-Grand Blvd-Washington Park
26,7833 S Pulaski Rd (Speed Camera),NB,,02/14/2014,41.750384529582846,-87.72179453872008,"(41.75038452958284, -87.72179453872008)",22,Ashburn
27,1142 W Irving Park (Speed Camera),EB,WB,12/06/2013,41.95454086624301,-87.65857252142277,"(41.95454086624301, -87.65857252142276)",8,Lincoln Park-Lake View
28,4045 W 55th (Speed Camera),EB,,02/07/2014,41.79307966774864,-87.72495665631905,"(41.79307966774864, -87.72495665631904)",18,South West Side
29,515 S Central Ave (Speed Camera),NB,,04/14/2014,41.87332924010392,-87.76446041521123,"(41.873329240103914, -87.76446041521123)",9,Austin
30,5532 S Kedzie Ave (Speed Camera),SB,NB,01/07/2015,41.792519996948506,-87.70367640326064,"(41.79251999694851, -87.70367640326066)",18,South West Side
31,4123 N Central Ave (Speed Camera),NB,SB,03/31/2014,41.95412825960217,-87.76688350223965,"(41.954128259602165, -87.76688350223966)",5,Dunning-Portage-Belmont Cragn
32,3809 W Belmont ave  (Speed Camera),EB,,04/08/2014,41.939040255975605,-87.72264591078833,"(41.939040255975605, -87.72264591078833)",6,Irving Park-Avondale-North Ctr
33,2440 W 51st St (Speed Camera),WB,,02/24/2014,41.801235747976406,-87.68589577919322,"(41.80123574797641, -87.68589577919322)",18,South West Side
34,324 S Kedzie Ave (Speed Camera),NB,SB,03/17/2014,41.87659894232968,-87.70614267856668,"(41.87659894232968, -87.70614267856668)",10,Humboldt-Garfield Prk E/W
35,3521 N Western (Speed Camera),NB,,01/31/2014,41.945574090874274,-87.68807785258112,"(41.945574090874274, -87.68807785258112)",6,Irving Park-Avondale-North Ctr
36,3034 W Foster Ave (Speed Camera),EB,WB,10/05/2013,41.9758840401294,-87.70480112338926,"(41.9758840401294, -87.70480112338926)",3,North Park-Albany-Linconl Sq
37,2549 W Addison (Speed Camera),EB,WB,01/31/2014,41.94661819673533,-87.69054929251513,"(41.94661819673533, -87.69054929251513)",6,Irving Park-Avondale-North Ctr
38,4040 W 55th (Speed Camera),WB,,02/07/2014,41.79330051203649,-87.72479036232271,"(41.79330051203649, -87.72479036232271)",18,South West Side
39,341 W 76th St (Speed Camera),EB,,04/30/2014,41.756158269344546,-87.63358626345992,"(41.756158269344546, -87.6335862634599)",23,Auburn Gresham-Chatham
40,4436 N Western (Speed Camera),SB,,01/04/2014,41.962421849540604,-87.68886227502836,"(41.9624218495406, -87.68886227502836)",3,North Park-Albany-Linconl Sq
41,2416 W 103rd St (Speed Camera),WB,,10/17/2014,41.70648720051648,-87.68239105927894,"(41.70648720051648, -87.68239105927896)",25,Beverly-Mt Greenwood-Morgan Park
42,346 W 76th St (Speed Camera),WB,,04/30/2014,41.7563743554102,-87.6338165847716,"(41.7563743554102, -87.6338165847716)",23,Auburn Gresham-Chatham
43,7422 S Jeffery (Speed Camera),SB,NB,01/25/2014,41.759441472271405,-87.57630061252594,"(41.759441472271405, -87.57630061252594)",24,South Shore-S Chicago-Avlon
44,4831 W Lawrence Ave (Speed Camera),EB,WB,10/11/2014,41.967902327913094,-87.74907897663441,"(41.96790232791309, -87.74907897663441)",2,Far North West
45,6247 W Fullerton (Speed Camera),EB,,12/21/2013,41.9236145831186,-87.78247948955652,"(41.9236145831186, -87.78247948955652)",5,Dunning-Portage-Belmont Cragn
46,4429 N Broadway (Speed Camera),,NB,11/23/2013,41.962596548691735,-87.65551767517252,"(41.962596548691735, -87.65551767517252)",4,Edge Water-Uptown
47,6510 W Bryn Mawr Ave (Speed Camera),WB,,09/05/2014,41.982994526661024,-87.79083208818419,"(41.98299452666102, -87.79083208818419)",2,Far North West
48,2912 W Roosevelt Rd (Speed Camera),WB,,10/05/2013,41.86658528313424,-87.69896237494206,"(41.86658528313424, -87.69896237494204)",10,Humboldt-Garfield Prk E/W
49,1638 N Ashland (Speed Camera),SB,,03/03/2014,41.91179204452259,-87.66787045896686,"(41.91179204452259, -87.66787045896686)",8,Lincoln Park-Lake View
50,5440 W Grand (Speed Camera),EB,WB,12/12/2013,41.91823126606235,-87.7623370579504,"(41.91823126606235, -87.7623370579504)",5,Dunning-Portage-Belmont Cragn
51,1111 N Humboldt Blvd (Speed Camera),SB,NB,11/19/2013,41.901430911774796,-87.70212117023745,"(41.901430911774796, -87.70212117023745)",10,Humboldt-Garfield Prk E/W
52,14 W Chicago Ave (Speed Camera),EB,,04/29/2014,41.89677912747405,-87.6287812485988,"(41.89677912747405, -87.6287812485988)",12,Near North
53,2550 W 79th (Speed Camera),WB,,12/18/2013,41.75021259302275,-87.68742106285289,"(41.75021259302275, -87.6874210628529)",22,Ashburn
54,5428 S Pulaski (Speed Camera),SB,,02/07/2014,41.794154583950295,-87.72333321258739,"(41.7941545839503, -87.72333321258739)",18,South West Side
55,4620 W Belmont (Speed Camera),EB,WB,03/10/2014,41.93898839075956,-87.74312142256439,"(41.938988390759555, -87.74312142256439)",6,Irving Park-Avondale-North Ctr
56,6330 S Martin Luther King Dr (Speed Camera),NB,SB,09/24/2014,41.779286,-87.616054,"(41.779286, -87.616054)",20,Fuller-Grand Blvd-Washington Park
57,140 N Ashland (Speed Camera),SB,,02/07/2014,41.88451419700416,-87.66704209415728,"(41.88451419700416, -87.66704209415728)",11,West Town-Near West
58,11144 S Vincennes (Speed Camera),NB,,01/08/2014,41.69102545584918,-87.6642476900556,"(41.69102545584918, -87.6642476900556)",25,Beverly-Mt Greenwood-Morgan Park
59,141 N Ashland (Speed Camera),NB,,02/07/2014,41.88451740794813,-87.66674834697315,"(41.88451740794813, -87.66674834697315)",11,West Town-Near West
60,5454 W Irving Park (Speed Camera),EB,WB,11/10/2013,41.95332954454448,-87.76426726425451,"(41.95332954454448, -87.76426726425451)",5,Dunning-Portage-Belmont Cragn
61,2335 W Cermak (Speed Camera),EB,,03/03/2014,41.851929523341646,-87.68464766256304,"(41.85192952334165, -87.68464766256305)",15,Bridgeport-McKinley-Lower West
62,2080 W Pershing Rd (Speed Camera),EB,WB,09/07/2013,41.82300132296577,-87.67514359128937,"(41.82300132296577, -87.67514359128938)",15,Bridgeport-McKinley-Lower West
63,4674 W Peterson Ave (Speed Camera),EB,,03/17/2014,41.99004267366519,-87.7453343185986,"(41.99004267366519, -87.7453343185986)",3,North Park-Albany-Linconl Sq
64,3137 W Peterson (Speed Camera),EB,WB,01/03/2014,41.9902819135942,-87.70824462568225,"(41.9902819135942, -87.70824462568225)",3,North Park-Albany-Linconl Sq
65,5885 N Ridge Ave (Speed Camera),NB,SB,03/18/2014,41.988904472466494,-87.66845572473223,"(41.988904472466494, -87.66845572473223)",4,Edge Water-Uptown
66,10318 S Indianapolis (Speed Camera),NB,SB,12/24/2013,41.70757690291347,-87.52984826112848,"(41.70757690291348, -87.52984826112849)",27,South Deering-East Side
67,3115 N Narragansett (Speed Camera),NB,,03/10/2014,41.93695084197675,-87.78574089058974,"(41.93695084197675, -87.78574089058974)",5,Dunning-Portage-Belmont Cragn
68,1334 W Garfield Blvd (Speed Camera),WB,,03/24/2014,41.79422646635146,-87.65870999891656,"(41.79422646635146, -87.65870999891658)",19,New City-Englewood-W Englewood
69,62 E 95th St (Speed Camera),EB,,10/12/2013,41.72187849819265,-87.62135432849777,"(41.72187849819265, -87.62135432849777)",26,Washington Hts-Roseland-Pullman
70,2115 S Western Ave (Speed Camera),NB,,04/25/2014,41.85338493884992,-87.68552968203949,"(41.85338493884992, -87.68552968203949)",14,Lawndale N/S
71,5471 W Higgins (Speed Camera),EB,WB,02/14/2014,41.96924714863935,-87.76401945149458,"(41.96924714863934, -87.76401945149458)",2,Far North West
