,LATITUDE,LONGITUDE,EXCEED_SPEED_LIMIT_I
6,41.685683630999996,-87.60346622600001,Y
8,41.685683630999996,-87.60346622600001,Y
457,41.749767037,-87.69276910399999,Y
459,41.749767037,-87.69276910399999,Y
569,41.655189935,-87.609362679,Y
922,41.885039467,-87.61724521299999,Y
2021,41.738562013,-87.724135725,Y
2024,41.738562013,-87.724135725,Y
2907,41.777544171,-87.63190154799999,N
3299,41.779668118000004,-87.642921641,Y
3331,41.998007709,-87.667206991,N
3467,41.870934949,-87.754649302,Y
3468,41.870934949,-87.754649302,Y
3469,41.870934949,-87.754649302,Y
4225,41.778579961,-87.738679437,Y
4227,41.778579961,-87.738679437,Y
4240,41.812017026999996,-87.684676915,N
4242,41.812017026999996,-87.684676915,N
4244,41.812017026999996,-87.684676915,N
4246,41.812017026999996,-87.684676915,N
4248,41.812017026999996,-87.684676915,N
4250,41.812017026999996,-87.684676915,N
4252,41.812017026999996,-87.684676915,N
4254,41.812017026999996,-87.684676915,N
6013,41.881992804,-87.706298928,Y
6016,41.881992804,-87.706298928,Y
6019,41.881992804,-87.706298928,Y
6022,41.881992804,-87.706298928,Y
6025,41.881992804,-87.706298928,Y
6028,41.881992804,-87.706298928,Y
6486,41.747749211999995,-87.58603741600001,N
6488,41.747749211999995,-87.58603741600001,N
6490,41.747749211999995,-87.58603741600001,N
7089,41.850234346,-87.724576827,N
7092,41.850234346,-87.724576827,N
7095,41.850234346,-87.724576827,N
7312,41.870898585999996,-87.65665387899999,Y
7314,41.870898585999996,-87.65665387899999,Y
7316,41.870898585999996,-87.65665387899999,Y
7753,41.863081805,-87.70483325,Y
7754,41.863081805,-87.70483325,Y
7755,41.863081805,-87.70483325,Y
7756,41.863081805,-87.70483325,Y
7757,41.863081805,-87.70483325,Y
7789,41.894773198,-87.632528374,Y
8838,41.988815533,-87.74817539200001,N
8840,41.988815533,-87.74817539200001,N
8842,41.988815533,-87.74817539200001,N
8901,41.903030903,-87.697413405,N
8903,41.903030903,-87.697413405,N
8905,41.903030903,-87.697413405,N
9520,41.931077566999996,-87.78713088100001,Y
9522,41.931077566999996,-87.78713088100001,Y
9524,41.931077566999996,-87.78713088100001,Y
10441,41.74298909,-87.585929146,Y
10442,41.74298909,-87.585929146,N
10443,41.74298909,-87.585929146,Y
10444,41.74298909,-87.585929146,N
10445,41.74298909,-87.585929146,Y
10446,41.74298909,-87.585929146,N
10447,41.74298909,-87.585929146,Y
10448,41.74298909,-87.585929146,N
10587,41.881598224,-87.75769966,Y
10589,41.881598224,-87.75769966,Y
10591,41.881598224,-87.75769966,Y
10593,41.881598224,-87.75769966,Y
10595,41.882440549,-87.757730675,Y
10597,41.882440549,-87.757730675,Y
10599,41.882440549,-87.757730675,Y
